c_name,c_email_id,c_type,c_addr,e_name,e_designation,e_addr,e_branch,start_date,end_date,amount,payment_status,payment_mode,payment_date,sh_content,sh_domain,ser_type,sh_weight,sh_charges,sr_addr,ds_addr,current_status,sent_date,delivery_date
Merna,Earle203@google.co.in,Retail,GOLDEN GATE AV / VANNESS AV,Earle,Delivery Boy,1200 Block of WAWONA ST,NY,17-09-2004,03-06-2024,21813,NOT PAID,COD,,Electronics,Domestic,Express,545,1044,LAKE MERCED BL / BROTHERHOOD WAY,HARRISON ST / THE EMBARCADEROSOUTH ST,NOT DELIVERED,9/19/1977,
Louise,Danita716@ymail.com,Wholesale,800 Block of BRYANT ST,Danita,Project director,500 Block of BROADWAY ST,UT,24-08-1997,07-07-2010,36312,NOT PAID,CARD PAYMENT,,Fashion,International,Regular,505,1082,GEARY ST / POLK ST,1600 Block of LASALLE AV,NOT DELIVERED,12/30/2019,
Kaitlyn,Raeleigh114@gmail.com,Wholesale,POWELL ST / MARKET ST,Raeleigh,Warehouse manager,400 Block of CASTRO ST,OK,03-06-2003,08-05-2014,24856,PAID,CARD PAYMENT,20-10-2002,Electronics,International,Regular,182,871,1400 Block of DOUGLASS ST,48TH AV / JUDAH ST,DELIVERED,8/31/2002,10/20/2002
Morgan,Guy394@outlook.com,Retail,CAPP ST / 17TH ST,Guy,Transport manager,NATOMA ST / 6TH ST,TN,07-05-1998,29-12-2016,39234,PAID,CARD PAYMENT,17-07-2006,Luggage,International,Regular,226,970,100 Block of FONT BL,1000 Block of KEY AV,DELIVERED,06-10-2006,7/17/2006
Courtney,Anastasia108@google.co.in,Wholesale,0 Block of SADOWA ST,Anastasia,Sales manager,JONES ST / PINE ST,MA,04-01-1976,15-09-1985,74222,PAID,COD,20-11-2004,Home Furnishing,International,Regular,111,617,HOLLOWAY AV / BRIGHTON AV,TAYLOR ST / GOLDEN GATE AV,DELIVERED,07-07-2004,11/20/2004
Rayshawn,Benita963@gmail.com,Retail,500 Block of GEARY ST,Benita,Manager,1700 Block of GREENWICH ST,TX,14-05-2010,18-11-2027,47260,PAID,CARD PAYMENT,08-03-1982,Hazardous Goods,International,Express,145,814,1800 Block of KIRKHAM ST,800 Block of BRYANT ST,DELIVERED,02-06-1982,03-08-1982
Eddie,Dianne471@ymail.com,Retail,0 Block of OFARRELL ST,Dianne,Branch manager,SCOTT ST / SACRAMENTO ST,NY,19-08-2006,03-01-2022,45432,NOT PAID,COD,,Electronics,Domestic,Regular,829,1145,500 Block of TUNNEL AV,1600 Block of TURK ST,NOT DELIVERED,7/27/2007,
Maurice,Andrea833@yahoo.co.in,Internal Goods,2700 Block of FILBERT ST,Andrea,Material handling executive,1700 Block of BEACH ST,TX,12-06-1983,24-11-2001,30192,PAID,COD,09-04-1994,Electronics,Domestic,Regular,269,902,800 Block of BRYANT ST,100 Block of SPEAR ST,DELIVERED,3/30/1994,04-09-1994
Taryn,Raul112@outlook.com,Internal Goods,700 Block of VALLEJO ST,Raul,Project director,1400 Block of 47TH AV,CA,12-05-1998,17-09-2007,53868,NOT PAID,CARD PAYMENT,,Hazardous Goods,International,Regular,660,1470,200 Block of CHENERY ST,2900 Block of DIAMOND ST,NOT DELIVERED,1/28/1999,
Lazaro,Raven727@yahoo.co.in,Retail,300 Block of FILLMORE ST,Raven,Engineering department manager,CASTRO ST / MARKET ST,AL,15-03-2013,05-06-2024,9691,NOT PAID,CARD PAYMENT,,Home Furnishing,Domestic,Regular,484,568,1000 Block of POTRERO AV,400 Block of ROLPH ST,NOT DELIVERED,3/20/2004,
Muriel,Rebecca74@yahoo.co.in,Retail,0 Block of MYRTLE ST,Rebecca,Material handling executive,400 Block of SCOTT ST,TX,17-04-2014,30-06-2022,39001,NOT PAID,COD,,Food and Beverages,International,Regular,100,487,100 Block of HYDE ST,BANCROFT AV / KEITH ST,NOT DELIVERED,5/19/1986,
Dejon,Rosalind124@hotmail.com,Retail,300 Block of HOLLADAY AV,Rosalind,Transport manager,MINNA ST / JULIA ST,MA,29-03-1971,28-03-1983,70814,NOT PAID,CARD PAYMENT,,Construction,Domestic,Express,711,1197,1100 Block of HUDSON AV,MYRTLE ST / LARKIN ST,NOT DELIVERED,03-08-1977,
Peter,Anne714@gmail.com,Internal Goods,DORLAND ST / GUERRERO ST,Anne,Block development manager,1000 Block of POTRERO AV,IA,16-11-1979,05-06-1983,13740,PAID,COD,09-08-2008,Home Furnishing,International,Regular,325,994,STOCKTON ST / POST ST,500 Block of MAGELLAN AV,DELIVERED,2/24/2008,08-09-2008
Todd,Michael518@yahoo.com,Wholesale,23RD ST / DOUGLASS ST,Michael,Market analyst,7TH ST / MARKET ST,TN,10-07-2017,24-11-2033,33435,NOT PAID,CARD PAYMENT,,Automotive,Domestic,Regular,209,933,LEAVENWORTH ST / TURK ST,1600 Block of 38TH AV,NOT DELIVERED,11/24/2017,
Stacy,Danielle957@yahoo.co.in,Internal Goods,5000 Block of 3RD ST,Danielle,IT support executive,100 Block of EUREKA ST,CT,06-09-2007,25-12-2021,73589,NOT PAID,CARD PAYMENT,,Construction,International,Express,996,1168,800 Block of BRYANT ST,3300 Block of MISSION ST,NOT DELIVERED,10-09-1972,
Frank,Heather632@hotmail.com,Internal Goods,0 Block of 7TH ST,Heather,Warehouse manager,2000 Block of UNION ST,RI,25-09-1984,17-07-1986,18598,PAID,COD,15-10-1982,Luggage,International,Regular,420,561,4200 Block of 26TH ST,0 Block of TURK ST,DELIVERED,07-11-1982,10/15/1982
Catherine,Kaitlyn744@yahoo.com,Retail,3500 Block of 26TH ST,Kaitlyn,Chief finance officer,800 Block of MARKET ST,MS,05-08-1979,20-11-1990,23003,PAID,CARD PAYMENT,12-07-2007,Industrial Equipments,International,Express,182,850,BLAKE ST / GEARY BL,BROADWAY ST / COLUMBUS AV,DELIVERED,06-05-2007,07-12-2007
Daren,Eileen529@google.co.in,Wholesale,0 Block of MAYNARD ST,Eileen,Chief executive officer,SAN JOSE AV / GUERRERO ST,MA,31-05-2009,04-11-2021,80901,NOT PAID,CARD PAYMENT,,Construction,Domestic,Express,901,1393,WASHINGTON ST / DRUMM ST,1200 Block of PINE ST,NOT DELIVERED,09-10-2004,
Tiffany,Cheyenne213@outlook.com,Internal Goods,MISSION ST / 17TH ST,Cheyenne,Branch manager,100 Block of GIRARD ST,CA,13-12-1982,30-03-1996,69113,PAID,COD,15-07-1991,Construction,International,Regular,88,426,EXECUTIVEPARK BL / ALANA WY,900 Block of MISSION ST,DELIVERED,6/30/1991,7/15/1991
Isidro,Ely630@yahoo.com,Wholesale,300 Block of MARKET ST,Ely,Office manager,0 Block of 6TH ST,KS,01-05-2010,07-11-2020,26060,NOT PAID,COD,,Electronics,Domestic,Regular,660,1208,0 Block of BROOKDALE AV,1300 Block of EGBERT AV,NOT DELIVERED,04-11-2013,
Claude,Irby513@hotmail.com,Retail,800 Block of CLEMENT ST,Irby,Assistant manager,0 Block of CRANE ST,AR,24-11-1985,04-09-1987,25677,NOT PAID,CARD PAYMENT,,Luggage,Domestic,Regular,267,925,3600 Block of 22ND ST,200 Block of NAGLEE AV,NOT DELIVERED,7/26/2010,
Gaylon,Genevieve714@hotmail.com,Retail,4100 Block of GEARY BL,Genevieve,Fleet manager,LEAVENWORTH ST / GOLDEN GATE AV,OH,30-07-1976,27-05-1995,62912,NOT PAID,COD,,Fashion,International,Express,905,1392,700 Block of 3RD ST,FRANCISCO ST / JONES ST,NOT DELIVERED,11-03-1981,
Adonis,Elliana123@hotmail.com,Internal Goods,3300 Block of CESAR CHAVEZ ST,Elliana,Office manager,COLUMBUS AV / LOMBARD ST,LA,03-06-2003,02-11-2009,77649,PAID,CARD PAYMENT,30-09-1983,Luggage,Domestic,Express,799,1425,1700 Block of 25TH ST,1300 Block of BROADWAY ST,DELIVERED,04-11-1983,9/30/1983
Stacy,Katrice318@yahoo.co.in,Internal Goods,MONTGOMERY ST / BROADWAY ST,Katrice,Sales manager,1600 Block of MARKET ST,WV,03-10-1988,11-03-2008,73561,PAID,COD,22-10-2006,Construction,International,Express,773,1225,1200 Block of POLK ST,1200 Block of MARKET ST,DELIVERED,9/18/2006,10/22/2006
Claude,Laverne188@google.co.in,Retail,17TH ST / SHOTWELL ST,Laverne,Engineering department manager,1800 Block of WALLER ST,CA,03-05-2017,18-01-2021,50357,NOT PAID,COD,,Luggage,Domestic,Express,78,403,EARL ST / LASALLE AV,1400 Block of KIRKWOOD CT,NOT DELIVERED,01-07-2003,
Bambi,Chasity357@yahoo.co.in,Internal Goods,1900 Block of UNION ST,Chasity,Delivery Boy,600 Block of MANGELS AV,WA,10-11-1992,30-07-2001,61325,PAID,CARD PAYMENT,22-03-2000,Industrial Equipments,Domestic,Express,791,1169,CLARA ST / 4TH ST,100 Block of ATOLL CR,DELIVERED,1/25/2000,3/22/2000
Isabela,Kyle670@gmail.com,Retail,600 Block of HEAD ST,Kyle,Non-executive director,0 Block of POWELL ST,CT,06-12-2005,07-05-2021,76658,NOT PAID,COD,,Construction,Domestic,Express,603,1167,0 Block of STEINER ST,1100 Block of FRANCISCO ST,NOT DELIVERED,5/25/2011,
Philip,Gene977@ymail.co.in,Internal Goods,0 Block of 7TH ST,Gene,Assistant manager,1900 Block of LOMBARD ST,ME,03-01-1995,03-10-2000,35525,NOT PAID,COD,,Construction,Domestic,Regular,360,565,1800 Block of 8TH AV,JONES ST / GOLDEN GATE AV,NOT DELIVERED,6/18/2000,
Joe,Marlene682@outlook.com,Wholesale,4100 Block of 18TH ST,Marlene,Delivery Boy,500 Block of NOE ST,CO,05-12-2011,27-07-2012,12462,PAID,COD,04-10-2012,Fashion,Domestic,Express,84,354,HARRISON ST / 11TH ST,BROADWAY ST / KEARNY ST,DELIVERED,08-02-2012,10-04-2012
Alonzo,Clay181@hotmail.com,Wholesale,2700 Block of FOLSOM ST,Clay,Delivery Boy,MISSION ST / 16TH ST,AL,28-08-1977,09-09-1996,27105,PAID,COD,08-11-1977,Automotive,Domestic,Regular,880,1178,500 Block of HYDE ST,400 Block of CAPP ST,DELIVERED,6/26/1977,11-08-1977
Philip,Baldemar170@yahoo.co.in,Internal Goods,800 Block of HOWARD ST,Baldemar,Market analyst,2700 Block of TAYLOR ST,NY,14-05-2010,04-08-2012,99604,PAID,COD,30-11-2010,Arts and crafts,International,Express,947,1385,LARKIN ST / ELLIS ST,2700 Block of DIAMOND ST,DELIVERED,2/13/2010,11/30/2010
Lola,Claudia529@google.co.in,Retail,2300 Block of MARKET ST,Claudia,Head of marketing,CEDAR ST / POLK ST,HI,11-11-1981,09-03-2000,90449,PAID,CARD PAYMENT,09-03-2009,Automotive,Domestic,Regular,234,780,6500 Block of 3RD ST,800 Block of 33RD AV,DELIVERED,3/24/2009,03-09-2009
Jennie,Arya715@ymail.co.in,Wholesale,16TH ST / SHOTWELL ST,Arya,Warehouse in charge,1200 Block of MARKET ST,KY,23-09-2002,25-03-2006,9520,NOT PAID,COD,,Food and Beverages,Domestic,Express,931,1247,0 Block of WHITFIELD CT,1500 Block of POWELL ST,NOT DELIVERED,4/25/1993,
Brennan,Rodney10@ymail.com,Wholesale,2000 Block of JERROLD AV,Rodney,Marketing manager,800 Block of MARKET ST,NC,13-09-1994,29-04-2010,42210,NOT PAID,CARD PAYMENT,,Arts and crafts,Domestic,Express,478,705,1100 Block of OCEAN AV,900 Block of DEHARO ST,NOT DELIVERED,8/30/2004,
Juan,Amelia849@hotmail.com,Internal Goods,600 Block of 9TH AV,Amelia,Market analyst,BAY ST / POWELL ST,FL,31-12-1982,09-08-1985,21639,NOT PAID,COD,,Industrial Equipments,Domestic,Express,638,1130,BRYANT ST / 4TH ST,1300 Block of MISSION ST,NOT DELIVERED,01-02-1989,
Carlotta,Stephanie808@gmail.com,Retail,900 Block of GENEVA AV,Stephanie,IT support executive,1800 Block of OCEAN AV,TX,18-11-1996,22-04-2016,58736,PAID,COD,31-07-2019,Industrial Equipments,Domestic,Express,50,72,900 Block of CONNECTICUT ST,LEAVENWORTH ST / EDDY ST,DELIVERED,2/19/2019,7/31/2019
Austin,Dejon859@ymail.com,Wholesale,POLK ST / SUTTER ST,Dejon,Executive director,100 Block of CLINTONPARK ST,IL,30-11-1989,14-06-2009,3951,PAID,CARD PAYMENT,05-01-2002,Industrial Equipments,International,Regular,477,564,POLK ST / BEACH ST,700 Block of LARKIN ST,DELIVERED,1/25/2002,01-05-2002
Naisha,Lawrence813@gmail.com,Retail,MISSION ST / 9TH ST,Lawrence,Inventory manager,100 Block of APTOS AV,CO,28-03-2000,12-10-2006,69479,NOT PAID,CARD PAYMENT,,Fashion,International,Regular,879,1040,37TH AV / RIVERA ST,1200 Block of 36TH AV,NOT DELIVERED,05-10-2003,
Maurice,Felicity667@ymail.com,Internal Goods,1400 Block of HARRISON ST,Felicity,Chief finance officer,1800 Block of NEWHALL ST,MO,26-11-2009,17-11-2027,10366,PAID,COD,23-12-2006,Electronics,Domestic,Express,912,1220,FREMONT ST / HARRISON ST,0 Block of CRESTLAKE DR,DELIVERED,3/17/2006,12/23/2006
Gabrielle,Kim205@hotmail.com,Retail,FILLMORE ST / CALIFORNIA ST,Kim,Office manager,100 Block of CEDAR ST,NY,06-08-1998,22-10-2014,10001,NOT PAID,CARD PAYMENT,,Food and Beverages,International,Regular,868,1141,400 Block of GENEVA AV,POWELL ST / OFARRELL ST,NOT DELIVERED,6/18/2007,
Grover,Morgan937@yahoo.com,Wholesale,EDDY ST / POLK ST,Morgan,Chief finance officer,400 Block of VALENCIA ST,SC,17-12-2010,03-01-2021,15307,PAID,CARD PAYMENT,01-05-1996,Healthcare,Domestic,Express,889,1050,20TH ST / KANSAS ST,JEFFERSON ST / TAYLOR ST,DELIVERED,03-03-1996,05-01-1996
Carter,Hudson500@gmail.com,Internal Goods,800 Block of BRYANT ST,Hudson,Non-executive director,STEINER ST / WASHINGTON ST,CO,07-05-1998,02-04-1999,68923,NOT PAID,CARD PAYMENT,,Home Furnishing,Domestic,Regular,482,850,4000 Block of 18TH ST,500 Block of ELLIS ST,NOT DELIVERED,12-02-1982,
Claude,Stacy454@hotmail.com,Wholesale,800 Block of OAK ST,Stacy,Engineering department manager,200 Block of BRANNAN ST,SC,29-01-1986,03-01-1987,59651,PAID,COD,25-09-2004,Healthcare,International,Express,683,1275,1400 Block of 14TH AV,1800 Block of DIVISADERO ST,DELIVERED,05-02-2004,9/25/2004
Bianca,Peter111@ymail.co.in,Internal Goods,300 Block of LEAVENWORTH ST,Peter,Chief finance officer,800 Block of BRYANT ST,KS,16-08-2001,08-05-2002,78953,NOT PAID,CARD PAYMENT,,Home Furnishing,Domestic,Regular,382,714,200 Block of 2ND ST,0 Block of THRIFT ST,NOT DELIVERED,2/22/2008,
Frank,Beth644@outlook.com,Internal Goods,1500 Block of WEBSTER ST,Beth,Warehouse in charge,2200 Block of CHESTNUT ST,NY,15-09-1979,30-06-1994,89420,PAID,COD,02-03-2004,Construction,Domestic,Regular,753,1027,2900 Block of TURK ST,300 Block of DEMONTFORT AV,DELIVERED,3/18/2004,03-02-2004
Marie,Devon640@hotmail.com,Internal Goods,1600 Block of GEARY BL,Devon,Market analyst,ADA CT / OFARRELL ST,MO,13-08-2017,14-01-2027,50374,NOT PAID,CARD PAYMENT,,Arts and crafts,International,Express,718,1486,0 Block of 7TH ST,300 Block of 10TH ST,NOT DELIVERED,3/22/1992,
Neri,Jonathan257@google.co.in,Internal Goods,500 Block of CRESTLAKE DR,Jonathan,Executive director,1600 Block of WEBSTER ST,CT,15-09-2012,22-08-2015,83102,NOT PAID,COD,,Industrial Equipments,Domestic,Express,577,1312,0 Block of CUMBERLAND ST,200 Block of POPLAR ST,NOT DELIVERED,04-05-1988,
